Intent,Sample Count,Percentage (%),Quality Flag
tuition_fees,2,14.29,POOR (under 5 samples)
ask_when_is_enrollment,2,14.29,POOR (under 5 samples)
registration,2,14.29,POOR (under 5 samples)
greeting,2,14.29,POOR (under 5 samples)
library_hours,2,14.29,POOR (under 5 samples)
ask_founder,2,14.29,POOR (under 5 samples)
goodbye,2,14.29,POOR (under 5 samples)
