Intent,Precision (%),Recall (%),F1 (%),Support
ask_when_is_enrollment,50.00,100.00,66.67,1
goodbye,100.00,100.00,100.00,2
greeting,100.00,50.00,66.67,2
library_hours,100.00,100.00,100.00,2
registration,50.00,50.00,50.00,2
tuition_fees,100.00,100.00,100.00,2
