Intent,Sample Count,Percentage (%),Quality Flag
goodbye,2,13.33,POOR (under 5 samples)
ask_founder,2,13.33,POOR (under 5 samples)
library_hours,2,13.33,POOR (under 5 samples)
ask_when_is_enrollment,2,13.33,POOR (under 5 samples)
greeting,2,13.33,POOR (under 5 samples)
registration,2,13.33,POOR (under 5 samples)
tuition_fees,2,13.33,POOR (under 5 samples)
ask_scholarship,1,6.67,POOR (under 5 samples)
